Product ID,Variant ID,Product Type,Product Page,Product URL,Title,Description,SKU,Price,Sale Price,On Sale,Stock,Categories,Tags,Weight,Length,Width,Height,Visible,Hosted Image URLs
,,PHYSICAL,Shop,pdl1-high-dualcontrol-single-slide,PDL1 HIGH DualControl™ Single Slide,"<p>The PDL1 HIGH DualControl™ Single Slide is a pre-sectioned cell-line control slide for PDL-1 immunohistochemistry, configured as a DualControl™ panel comprising two characterized cell-line population(s). It delivers reproducible, pre-characterized PDL-1 expression levels for calibrating, validating, and monitoring IHC staining runs.</p> <p><strong>Composition:</strong> Two characterized cell-line population(s) in a DualControl™ layout.</p>",PCI-56,30.00,,No,unlimited,Slide,"PDL-1, DualControl™",,,,,Yes,https://pci-update.vercel.app/products/56_PDL1_HIGH_DualControl_Single_Slide.jpg
,,PHYSICAL,Shop,pdl1-high-dualcontrol-ffpe-block,PDL1 HIGH DualControl™ FFPE Block,"<p>The PDL1 HIGH DualControl™ FFPE Block is a pre-sectioned cell-line control slide for PDL-1 immunohistochemistry, configured as a DualControl™ panel comprising two characterized cell-line population(s). It delivers reproducible, pre-characterized PDL-1 expression levels for calibrating, validating, and monitoring IHC staining runs.</p> <p><strong>Composition:</strong> Two characterized cell-line population(s) in a DualControl™ layout.</p>",PCI-57,900.00,,No,unlimited,FFPE,"PDL-1, DualControl™",,,,,Yes,https://pci-update.vercel.app/products/57_PDL1_HIGH_DualControl_FFPE_Block.jpg
,,PHYSICAL,Shop,p53-tricontrol-ffpe-block,p53 TriControl™ FFPE block,"<p>The p53 TriControl™ FFPE block is a formalin-fixed paraffin-embedded (FFPE) cell-line control block for p53 immunohistochemistry, configured as a TriControl™ panel comprising three characterized cell-line population(s). It delivers reproducible, pre-characterized p53 expression levels for calibrating, validating, and monitoring IHC staining runs.</p> <p><strong>Composition:</strong> Three characterized cell-line population(s) in a TriControl™ layout.</p>",PCI-58,1500.00,,No,unlimited,FFPE Block,"p53, TriControl™",,,,,Yes,https://pci-update.vercel.app/products/58_p53_TriControl_FFPE_block.jpg
,,PHYSICAL,Shop,pdl1-high-single-control-ffpe-block,PDL1 HIGH SINGLE CONTROL FFPE BLOCK,"<p>The PDL1 HIGH SINGLE CONTROL FFPE BLOCK is a formalin-fixed paraffin-embedded (FFPE) cell-line control block for PDL-1 immunohistochemistry, configured as a Single Control panel comprising a single characterized cell-line population(s). It delivers reproducible, pre-characterized PDL-1 expression levels for calibrating, validating, and monitoring IHC staining runs.</p> <p><strong>Composition:</strong> A single characterized cell-line population(s) in a Single Control layout.</p>",PCI-59,500.00,,No,unlimited,FFPE Block,"PDL-1, Single Control",,,,,Yes,https://pci-update.vercel.app/products/59_PDL1_HIGH_SINGLE_CONTROL_FFPE_BLOCK.jpg
,,PHYSICAL,Shop,msh6-dualcontrol-ffpe-block,MSH6 DualControl™ FFPE BLOCK,"<p>The MSH6 DualControl™ FFPE BLOCK is a formalin-fixed paraffin-embedded (FFPE) cell-line control block for MSH6 immunohistochemistry, configured as a DualControl™ panel comprising two characterized cell-line population(s). It delivers reproducible, pre-characterized MSH6 expression levels for calibrating, validating, and monitoring IHC staining runs.</p> <p><strong>Composition:</strong> Two characterized cell-line population(s) in a DualControl™ layout.</p>",PCI-60,900.00,,No,unlimited,FFPE Block,"MSH6, DualControl™",,,,,Yes,https://pci-update.vercel.app/products/60_MSH6_DualControl_FFPE_BLOCK.jpg
,,PHYSICAL,Shop,p53-dualcontrol-dualcontrol-ffpe-block-oe-and-wt,p53 DualControl™ - Dualcontrol™ FFPE block (OE and WT),"<p>The p53 DualControl™ - Dualcontrol™ FFPE block (OE and WT) is a formalin-fixed paraffin-embedded (FFPE) cell-line control block for p53 immunohistochemistry, configured as a DualControl™ panel comprising two characterized cell-line population(s). It delivers reproducible, pre-characterized p53 expression levels for calibrating, validating, and monitoring IHC staining runs.</p> <p><strong>Composition:</strong> Two characterized cell-line population(s) in a DualControl™ layout.</p>",PCI-61,900.00,,No,unlimited,FFPE Block,"p53, DualControl™",,,,,Yes,https://pci-update.vercel.app/products/61_p53_DualControl_Dualcontrol_FFPE_block_OE_and_WT.jpg
,,PHYSICAL,Shop,mlh1-deficient-single-control-ffpe-block,MLH1 Deficient Single control FFPE block,"<p>The MLH1 Deficient Single control FFPE block is a formalin-fixed paraffin-embedded (FFPE) cell-line control block for MLH1 immunohistochemistry, configured as a Single Control panel comprising a single characterized cell-line population(s). It delivers reproducible, pre-characterized MLH1 expression levels for calibrating, validating, and monitoring IHC staining runs.</p> <p><strong>Composition:</strong> A single characterized cell-line population(s) in a Single Control layout.</p>",PCI-62,500.00,,No,unlimited,FFPE Block,"MLH1, Single Control",,,,,Yes,https://pci-update.vercel.app/products/62_MLH1_Deficient_Single_control_FFPE_block.jpg
,,PHYSICAL,Shop,p16-tricontrol-single-slide,p16 TriControl™ Single Slide,"<p>The p16 TriControl™ Single Slide is a pre-sectioned cell-line control slide for p16 immunohistochemistry, configured as a TriControl™ panel comprising three characterized cell-line population(s). It delivers reproducible, pre-characterized p16 expression levels for calibrating, validating, and monitoring IHC staining runs.</p> <p><strong>Composition:</strong> Three characterized cell-line population(s) in a TriControl™ layout.</p>",PCI-00,45.00,,No,unlimited,Slide,"p16, TriControl™",,,,,Yes,
,,PHYSICAL,Shop,mmr-quadcontrol-single-slide,MMR QuadControl™ Single Slide,"<p>The MMR QuadControl™ Single Slide is a pre-sectioned cell-line control slide for MMR immunohistochemistry, configured as a QuadControl™ panel comprising four characterized cell-line population(s). It delivers reproducible, pre-characterized MMR expression levels for calibrating, validating, and monitoring IHC staining runs.</p> <p><strong>Composition:</strong> Four characterized cell-line population(s) in a QuadControl™ layout.</p>",PCI-01,60.00,,No,unlimited,Slide,"MMR, QuadControl™",,,,,Yes,
,,PHYSICAL,Shop,p53-oe-single-control-single-slide,p53 OE Single Control Single Slide,"<p>The p53 OE Single Control Single Slide is a pre-sectioned cell-line control slide for p53 immunohistochemistry, configured as a Single Control panel comprising a single characterized cell-line population(s). It delivers reproducible, pre-characterized p53 expression levels for calibrating, validating, and monitoring IHC staining runs.</p> <p><strong>Composition:</strong> A single characterized cell-line population(s) in a Single Control layout.</p>",PCI-03,15.00,,No,unlimited,Slide,"p53, Single Control",,,,,Yes,
,,PHYSICAL,Shop,beta-catenin-single-control-single-slide-pci-04,Beta-catenin Single Control Single Slide,"<p>The Beta-catenin Single Control Single Slide is a pre-sectioned cell-line control slide for Beta-catenin immunohistochemistry, configured as a Single Control panel comprising a single characterized cell-line population(s). It delivers reproducible, pre-characterized Beta-catenin expression levels for calibrating, validating, and monitoring IHC staining runs.</p> <p><strong>Composition:</strong> A single characterized cell-line population(s) in a Single Control layout.</p>",PCI-04,15.00,,No,unlimited,Slide,"Beta-catenin, Single Control",,,,,Yes,
,,PHYSICAL,Shop,pten-null-dualcontrol-single-slide,PTEN NULL DualControl™ Single Slide,"<p>The PTEN NULL DualControl™ Single Slide is a pre-sectioned cell-line control slide for PTEN immunohistochemistry, configured as a DualControl™ panel comprising two characterized cell-line population(s). It delivers reproducible, pre-characterized PTEN expression levels for calibrating, validating, and monitoring IHC staining runs.</p> <p><strong>Composition:</strong> Two characterized cell-line population(s) in a DualControl™ layout.</p>",PCI-06,30.00,,No,unlimited,Slide,"PTEN, DualControl™",,,,,Yes,
,,PHYSICAL,Shop,p16-null-oe-dualcontrol-ffpe-block,p16 NULL/OE DualControl™ FFPE BLOCK,"<p>The p16 NULL/OE DualControl™ FFPE BLOCK is a formalin-fixed paraffin-embedded (FFPE) cell-line control block for p16 immunohistochemistry, configured as a DualControl™ panel comprising two characterized cell-line population(s). It delivers reproducible, pre-characterized p16 expression levels for calibrating, validating, and monitoring IHC staining runs.</p> <p><strong>Composition:</strong> Two characterized cell-line population(s) in a DualControl™ layout.</p>",PCI-07,900.00,,No,unlimited,FFPE Block,"p16, DualControl™",,,,,Yes,
,,PHYSICAL,Shop,mlh1-msh6-dualcontrol-ffpe-block,MLH1/MSH6 DualControl™ FFPE BLOCK,"<p>The MLH1/MSH6 DualControl™ FFPE BLOCK is a formalin-fixed paraffin-embedded (FFPE) cell-line control block for MLH1, MSH6 immunohistochemistry, configured as a DualControl™ panel comprising two characterized cell-line population(s). It delivers reproducible, pre-characterized MLH1, MSH6 expression levels for calibrating, validating, and monitoring IHC staining runs.</p> <p><strong>Composition:</strong> Two characterized cell-line population(s) in a DualControl™ layout.</p>",PCI-08,900.00,,No,unlimited,FFPE Block,"MLH1, MSH6, DualControl™",,,,,Yes,
,,PHYSICAL,Shop,p53-p248q-single-control-single-slide,p53 P248Q Single Control Single Slide,"<p>The p53 P248Q Single Control Single Slide is a pre-sectioned cell-line control slide for p53 immunohistochemistry, configured as a Single Control panel comprising a single characterized cell-line population(s). It delivers reproducible, pre-characterized p53 expression levels for calibrating, validating, and monitoring IHC staining runs.</p> <p><strong>Composition:</strong> A single characterized cell-line population(s) in a Single Control layout.</p>",PCI-09,15.00,,No,unlimited,Slide,"p53, Single Control",,,,,Yes,
,,PHYSICAL,Shop,wild-type-single-control-single-slide,Wild type Single Control Single Slide,"<p>The Wild type Single Control Single Slide is a pre-sectioned cell-line control slide for — immunohistochemistry, configured as a Single Control panel comprising a single characterized cell-line population(s). It delivers reproducible, pre-characterized — expression levels for calibrating, validating, and monitoring IHC staining runs.</p> <p><strong>Composition:</strong> A single characterized cell-line population(s) in a Single Control layout.</p>",PCI-10,15.00,,No,unlimited,Slide,"—, Single Control",,,,,Yes,
,,PHYSICAL,Shop,p16-diffuse-single-control-ffpe-block,p16 Diffuse SINGLE CONTROL FFPE BLOCK,"<p>The p16 Diffuse SINGLE CONTROL FFPE BLOCK is a formalin-fixed paraffin-embedded (FFPE) cell-line control block for p16 immunohistochemistry, configured as a Single Control panel comprising a single characterized cell-line population(s). It delivers reproducible, pre-characterized p16 expression levels for calibrating, validating, and monitoring IHC staining runs.</p> <p><strong>Composition:</strong> A single characterized cell-line population(s) in a Single Control layout.</p>",PCI-11,500.00,,No,unlimited,FFPE Block,"p16, Single Control",,,,,Yes,
,,PHYSICAL,Shop,beta-catenin-single-control-ffpe-block,Beta-Catenin SINGLE CONTROL FFPE BLOCK,"<p>The Beta-Catenin SINGLE CONTROL FFPE BLOCK is a pre-sectioned cell-line control slide for Beta-Catenin immunohistochemistry, configured as a Single Control panel comprising a single characterized cell-line population(s). It delivers reproducible, pre-characterized Beta-Catenin expression levels for calibrating, validating, and monitoring IHC staining runs.</p> <p><strong>Composition:</strong> A single characterized cell-line population(s) in a Single Control layout.</p>",PCI-14,500.00,,No,unlimited,FFPE,"Beta-Catenin, Single Control",,,,,Yes,
,,PHYSICAL,Shop,p53-dualcontrol-dual-control-ffpe-block-oe-and-n,p53 DualControl™ - Dual control FFPE block (OE and N),"<p>The p53 DualControl™ - Dual control FFPE block (OE and N) is a formalin-fixed paraffin-embedded (FFPE) cell-line control block for p53 immunohistochemistry, configured as a DualControl™ panel comprising two characterized cell-line population(s). It delivers reproducible, pre-characterized p53 expression levels for calibrating, validating, and monitoring IHC staining runs.</p> <p><strong>Composition:</strong> Two characterized cell-line population(s) in a DualControl™ layout.</p>",PCI-63,900.00,,No,unlimited,FFPE Block,"p53, DualControl™",,,,,Yes,
